# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 243 01/31/2013 Service Pack 1 SJ Web Edition
# File: K:\altera\12.1sp1\ModExp 2.0 - copied\ModExp.csv
# Generated on: Mon Aug 12 11:44:27 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
clk,Input,PIN_M1,1,B1_N0,PIN_M1,,,,
e_buf[15],Input,PIN_F10,3,B3_N0,PIN_F10,,,,
e_buf[14],Input,PIN_A11,3,B3_N0,PIN_A11,,,,
e_buf[13],Input,PIN_C13,4,B4_N1,PIN_C13,,,,
e_buf[12],Input,PIN_A14,4,B4_N1,PIN_A14,,,,
e_buf[11],Input,PIN_D9,3,B3_N0,PIN_D9,,,,
e_buf[10],Input,PIN_E9,3,B3_N0,PIN_E9,,,,
e_buf[9],Input,PIN_F9,3,B3_N1,PIN_F9,,,,
e_buf[8],Input,PIN_D8,3,B3_N1,PIN_D8,,,,
e_buf[7],Input,PIN_D4,2,B2_N0,PIN_D4,,,,
e_buf[6],Input,PIN_B7,3,B3_N1,PIN_B7,,,,
e_buf[5],Input,PIN_C9,3,B3_N1,PIN_C9,,,,
e_buf[4],Input,PIN_F14,4,B4_N1,PIN_F14,,,,
e_buf[3],Input,PIN_A16,4,B4_N1,PIN_A16,,,,
e_buf[2],Input,PIN_E11,3,B3_N0,PIN_E11,,,,
e_buf[1],Input,PIN_B16,4,B4_N1,PIN_B16,,,,
e_buf[0],Input,PIN_D14,4,B4_N1,PIN_D14,,,,
exp_state[4],Output,PIN_Y17,7,B7_N0,PIN_Y17,,,,
exp_state[3],Output,PIN_W18,6,B6_N1,PIN_W18,,,,
exp_state[2],Output,PIN_E14,4,B4_N1,PIN_E14,,,,
exp_state[1],Output,PIN_U18,6,B6_N1,PIN_U18,,,,
exp_state[0],Output,PIN_V22,6,B6_N1,PIN_V22,,,,
getResult,Input,PIN_F13,4,B4_N1,PIN_F13,,,,
m_buf[15],Input,PIN_W7,8,B8_N1,PIN_W7,,,,
m_buf[14],Input,PIN_H2,2,B2_N1,PIN_H2,,,,
m_buf[13],Input,PIN_J2,2,B2_N1,PIN_J2,,,,
m_buf[12],Input,PIN_H1,2,B2_N1,PIN_H1,,,,
m_buf[11],Input,PIN_J5,2,B2_N1,PIN_J5,,,,
m_buf[10],Input,PIN_M22,6,B6_N0,PIN_M22,,,,
m_buf[9],Input,PIN_M21,6,B6_N0,PIN_M21,,,,
m_buf[8],Input,PIN_AA11,8,B8_N0,PIN_AA11,,,,
m_buf[7],Input,PIN_AB13,7,B7_N1,PIN_AB13,,,,
m_buf[6],Input,PIN_J1,2,B2_N1,PIN_J1,,,,
m_buf[5],Input,PIN_AA8,8,B8_N0,PIN_AA8,,,,
m_buf[4],Input,PIN_V8,8,B8_N1,PIN_V8,,,,
m_buf[3],Input,PIN_F2,2,B2_N1,PIN_F2,,,,
m_buf[2],Input,PIN_B10,3,B3_N0,PIN_B10,,,,
m_buf[1],Input,PIN_H3,2,B2_N1,PIN_H3,,,,
m_buf[0],Input,PIN_E8,3,B3_N1,PIN_E8,,,,
n_buf[15],Input,PIN_T3,1,B1_N1,PIN_T3,,,,
n_buf[14],Input,PIN_R5,1,B1_N1,PIN_R5,,,,
n_buf[13],Input,PIN_AA5,8,B8_N1,PIN_AA5,,,,
n_buf[12],Input,PIN_R6,1,B1_N1,PIN_R6,,,,
n_buf[11],Input,PIN_W3,1,B1_N1,PIN_W3,,,,
n_buf[10],Input,PIN_U3,1,B1_N1,PIN_U3,,,,
n_buf[9],Input,PIN_R4,1,B1_N1,PIN_R4,,,,
n_buf[8],Input,PIN_W4,1,B1_N1,PIN_W4,,,,
n_buf[7],Input,PIN_Y4,1,B1_N1,PIN_Y4,,,,
n_buf[6],Input,PIN_V4,1,B1_N1,PIN_V4,,,,
n_buf[5],Input,PIN_Y3,1,B1_N1,PIN_Y3,,,,
n_buf[4],Input,PIN_U4,1,B1_N1,PIN_U4,,,,
n_buf[3],Input,PIN_Y5,8,B8_N1,PIN_Y5,,,,
n_buf[2],Input,PIN_Y2,1,B1_N1,PIN_Y2,,,,
n_buf[1],Input,PIN_V1,1,B1_N1,PIN_V1,,,,
n_buf[0],Input,PIN_W5,1,B1_N1,PIN_W5,,,,
nprime0_buf[15],Input,PIN_AB8,8,B8_N0,PIN_AB8,,,,
nprime0_buf[14],Input,PIN_AB9,8,B8_N0,PIN_AB9,,,,
nprime0_buf[13],Input,PIN_J21,5,B5_N1,PIN_J21,,,,
nprime0_buf[12],Input,PIN_Y10,8,B8_N0,PIN_Y10,,,,
nprime0_buf[11],Input,PIN_P3,1,B1_N0,PIN_P3,,,,
nprime0_buf[10],Input,PIN_B14,4,B4_N1,PIN_B14,,,,
nprime0_buf[9],Input,PIN_T2,1,B1_N0,PIN_T2,,,,
nprime0_buf[8],Input,PIN_B13,4,B4_N1,PIN_B13,,,,
nprime0_buf[7],Input,PIN_C10,3,B3_N0,PIN_C10,,,,
nprime0_buf[6],Input,PIN_AA9,8,B8_N0,PIN_AA9,,,,
nprime0_buf[5],Input,PIN_N2,1,B1_N0,PIN_N2,,,,
nprime0_buf[4],Input,PIN_A9,3,B3_N0,PIN_A9,,,,
nprime0_buf[3],Input,PIN_B9,3,B3_N0,PIN_B9,,,,
nprime0_buf[2],Input,PIN_A10,3,B3_N0,PIN_A10,,,,
nprime0_buf[1],Input,PIN_D11,3,B3_N0,PIN_D11,,,,
nprime0_buf[0],Input,PIN_F11,3,B3_N0,PIN_F11,,,,
r_buf[15],Input,PIN_G1,2,B2_N1,PIN_G1,,,,
r_buf[14],Input,PIN_G17,5,B5_N0,PIN_G17,,,,
r_buf[13],Input,PIN_J17,5,B5_N1,PIN_J17,,,,
r_buf[12],Input,PIN_L19,5,B5_N1,PIN_L19,,,,
r_buf[11],Input,PIN_F21,5,B5_N0,PIN_F21,,,,
r_buf[10],Input,PIN_K17,5,B5_N1,PIN_K17,,,,
r_buf[9],Input,PIN_E2,2,B2_N1,PIN_E2,,,,
r_buf[8],Input,PIN_H6,2,B2_N0,PIN_H6,,,,
r_buf[7],Input,PIN_E7,3,B3_N1,PIN_E7,,,,
r_buf[6],Input,PIN_D19,5,B5_N0,PIN_D19,,,,
r_buf[5],Input,PIN_F12,4,B4_N1,PIN_F12,,,,
r_buf[4],Input,PIN_P5,1,B1_N0,PIN_P5,,,,
r_buf[3],Input,PIN_E1,2,B2_N1,PIN_E1,,,,
r_buf[2],Input,PIN_D15,4,B4_N0,PIN_D15,,,,
r_buf[1],Input,PIN_B15,4,B4_N1,PIN_B15,,,,
r_buf[0],Input,PIN_P4,1,B1_N1,PIN_P4,,,,
res_out[15],Output,PIN_P6,1,B1_N0,PIN_P6,,,,
res_out[14],Output,PIN_T6,1,B1_N1,PIN_T6,,,,
res_out[13],Output,PIN_T5,1,B1_N1,PIN_T5,,,,
res_out[12],Output,PIN_N6,1,B1_N0,PIN_N6,,,,
res_out[11],Output,PIN_Y1,1,B1_N1,PIN_Y1,,,,
res_out[10],Output,PIN_N4,1,B1_N0,PIN_N4,,,,
res_out[9],Output,PIN_P1,1,B1_N0,PIN_P1,,,,
res_out[8],Output,PIN_M6,1,B1_N0,PIN_M6,,,,
res_out[7],Output,PIN_N1,1,B1_N0,PIN_N1,,,,
res_out[6],Output,PIN_U2,1,B1_N1,PIN_U2,,,,
res_out[5],Output,PIN_U1,1,B1_N1,PIN_U1,,,,
res_out[4],Output,PIN_V2,1,B1_N1,PIN_V2,,,,
res_out[3],Output,PIN_N5,1,B1_N0,PIN_N5,,,,
res_out[2],Output,PIN_W1,1,B1_N1,PIN_W1,,,,
res_out[1],Output,PIN_W2,1,B1_N1,PIN_W2,,,,
res_out[0],Output,PIN_R1,1,B1_N0,PIN_R1,,,,
reset,Input,PIN_M2,1,B1_N0,PIN_M2,,,,
startCompute,Input,PIN_L21,5,B5_N1,PIN_L21,,,,
startInput,Input,PIN_L22,5,B5_N1,PIN_L22,,,,
state[3],Output,PIN_E15,4,B4_N0,PIN_E15,,,,
state[2],Output,PIN_K18,5,B5_N1,PIN_K18,,,,
state[1],Output,PIN_K22,5,B5_N1,PIN_K22,,,,
state[0],Output,PIN_P22,6,B6_N0,PIN_P22,,,,
t_buf[15],Input,PIN_A13,4,B4_N1,PIN_A13,,,,
t_buf[14],Input,PIN_P2,1,B1_N0,PIN_P2,,,,
t_buf[13],Input,PIN_V11,8,B8_N0,PIN_V11,,,,
t_buf[12],Input,PIN_AA12,7,B7_N1,PIN_AA12,,,,
t_buf[11],Input,PIN_AA10,8,B8_N0,PIN_AA10,,,,
t_buf[10],Input,PIN_J3,2,B2_N1,PIN_J3,,,,
t_buf[9],Input,PIN_J6,2,B2_N1,PIN_J6,,,,
t_buf[8],Input,PIN_J4,2,B2_N1,PIN_J4,,,,
t_buf[7],Input,PIN_AB11,8,B8_N0,PIN_AB11,,,,
t_buf[6],Input,PIN_G2,2,B2_N1,PIN_G2,,,,
t_buf[5],Input,PIN_M19,6,B6_N0,PIN_M19,,,,
t_buf[4],Input,PIN_AB12,7,B7_N1,PIN_AB12,,,,
t_buf[3],Input,PIN_M5,1,B1_N0,PIN_M5,,,,
t_buf[2],Input,PIN_AB10,8,B8_N0,PIN_AB10,,,,
t_buf[1],Input,PIN_W11,8,B8_N0,PIN_W11,,,,
t_buf[0],Input,PIN_AA13,7,B7_N1,PIN_AA13,,,,
